44.6,64.8,43.9,57.1,36.4,698.496
32.4,47.3,52.4,62.4,59.9,800.681
44.2,38.3,33.6,73.2,70,748.037
37.8,74.8,31.6,72.1,37,870.766
37,26.4,42.2,74.7,34.7,748.037
52.5,29.1,40.4,57.7,70,748.037
49.5,86.6,41.2,45.2,25.4,768.153
40.2,72.6,40,57.6,36.7,698.496
47.7,21.9,42.1,61.3,70,748.037
35.3,58.8,21.4,85.1,25.1,800.895
27.8,30,30.9,89.6,31,748.037
31.7,32.7,40.4,73.6,49,748.037
26.5,68.5,26.1,85.6,28,698.496
34.2,76.2,28.4,72.2,32.3,698.496
40,19.7,18.9,90.7,27,748.037
42.6,70.3,42.6,50.6,36,698.496
25.9,85.3,25.8,80.8,25.1,698.496
25.3,40.3,27.3,90.2,33.7,748.037
47,69.5,50.2,37.8,36.4,836.098
46.3,62.1,48.5,42.5,30.6,723.534
30.6,84.8,32.2,67.7,44.4,698.496
47.8,20.7,58.5,39.2,40,640.288
43.6,26.4,27,75.3,70,748.037
31.3,73.4,33.3,67.8,35.4,698.496
28.8,65,27.2,77.4,45,800.681
39.7,85.5,44.5,45,31.3,698.496
27.7,52.3,43.8,65.5,33.1,800.681
25.2,83.2,23.7,80.5,32.3,806.245
30.4,48,35.3,70.2,63.2,800.681
43.9,23.9,38.9,56.6,87.8,748.037
36.4,17.2,21.6,86.1,49.1,748.037
42.3,36,51.8,45.7,43.8,748.037
36.9,75.1,38.6,55.4,31.6,698.496
47.3,30.1,60.7,33,35,794.796
53.3,27.2,43.9,43.3,38.6,748.037
36.1,67.1,25.1,67.2,61.8,723.534
41.4,89.8,47.8,34.5,44.4,746.753
23.3,70.7,18.7,88.9,70,800.895
29.2,72.5,34.7,65.5,30.8,780.779
45.7,30.3,23.3,70.3,70,748.037
39.7,65,36.1,49.3,87.5,695.607
28.3,92.9,35,55.7,76.6,777.034
36.1,85.1,40.2,46.8,53.1,771.256
20.8,62.5,20.1,87.1,55.3,698.496
16.8,70.5,31.5,79.2,26.8,695.607
31.9,65.2,24.1,66.8,95.7,870.766
61.7,22.9,58,18.8,33.3,457.96
26.4,29.8,37.2,66.7,98,748.037
30.5,57.6,21.7,75.1,42.4,723.534
34.8,73.1,33.5,55.6,37.1,698.496
33.5,63.9,36.9,56.6,29,1080.593
32.8,28.3,30.1,70.4,49.2,748.037
38.9,49.6,34.8,54.8,36.9,695.607
23.4,54.3,16.1,87.6,37.6,585.29
40.9,82.1,39.5,34.1,100,765.585
34.4,58.1,24.1,67.6,31,723.534
35.7,55.6,18.7,67.8,81.8,723.534
32.1,90,35.8,47.8,58.7,771.256
29,73.5,26.6,65.2,42.1,1080.593
38.9,14.8,23.5,73.6,29.7,419.868
30.2,61.6,35,57.4,50.1,836.098
29,63.7,29.7,62.8,49.9,723.534
26.5,41.4,18.9,83.5,24.2,748.037
34.6,64.9,19.6,65.5,35.6,723.534
49,32.1,14.2,63.5,40.7,748.037
30.6,86.4,30.5,53.9,70,800.681
27.6,84.9,30.3,56.3,34.4,698.496
32.9,56.2,30.4,54.4,76.8,800.681
33.7,45.9,27.9,57.9,37,585.29
27.9,48.5,22.3,60.8,29.4,376.747
28.9,67.8,34,51.7,35.5,698.496
24.6,38.4,22.8,63.7,99.4,748.037
45.5,21.2,39.2,43.8,33.1,891.631
42.7,17.7,44.5,39.7,46.8,640.288
30.4,38,18.9,70,31.1,748.037
38.7,48.9,45,34,33.6,794.796
28,29.8,34.1,58.8,70,748.037
40.8,50.8,18.8,46.7,69.8,723.534
20.8,52,29.2,59.4,26.3,765.585
44.3,49.2,35.6,42,40.9,748.037
32.2,81.7,33.4,43.8,50.7,771.256
24.5,44.1,22.2,71.9,29.5,585.29
29,20.6,24.9,69,32.9,748.037
31.7,90.1,35.9,37,28.3,698.496
44.4,30.6,36.4,37.3,27.7,748.037
25.8,48.4,37.7,55.7,37.7,765.585
23.1,90.7,13.8,65.7,32.8,768.153
48.5,31,14.4,55.6,34.3,748.037
24.5,88.8,28,48,27.8,777.034
34.3,26,29.3,52.1,27.3,748.037
26.7,70.4,17.3,70.3,32.1,800.895
35.8,62.1,44.2,32.5,32.7,695.607
38.8,55.7,34.3,38.5,41.9,695.607
31.3,44,18,63,27.9,723.534
23.6,80.4,25.9,53.5,52.8,780.779
17,58.6,24.2,61.6,70,695.607
25.9,66,37.2,36.3,79.3,765.585
26.9,25.5,32,51.2,70,748.037
43.6,25,10.5,55.7,24.2,748.037
25.5,64.8,30.7,43,72.5,695.607
36.9,37.8,12.2,59.4,29.9,748.037
42.4,36.1,26.2,42.9,40.5,419.868
39.5,23.4,39.6,30.2,49.7,823.151
21.3,93,23.2,46.5,42.3,771.256
36.4,24.2,44.5,25.1,100,640.288
19.6,56.8,30,53,37.6,695.607
25.7,25.9,30.8,53.5,92.9,748.037
28.9,43.5,22.2,49.8,100,765.585
19,17.8,10.3,84.3,27.6,891.631
32.7,34.9,22,52.1,32.2,740.975
34,42.7,34.4,39.7,39.5,695.607
35.2,56.3,21.3,50,27.4,723.534
37.1,34.3,24.3,51.3,35,740.975
22.5,33.2,12.3,78.3,35.6,740.975
38.5,26.9,33.7,37.7,26.5,748.037
24.2,34.3,26,56.2,31.1,740.975
16.7,45.5,12.9,76.9,31.3,740.975
41.5,23.3,33.6,36.9,47.9,823.151
24.9,67.1,23.8,48,29,698.496
19.1,45.2,17,61.6,28.6,723.534
17.4,89.9,20.3,51.7,30,698.496
30.1,62.5,37.3,22.2,72.8,836.098
18.4,56.6,11.1,62.8,73.4,768.153
46.8,19.5,30.7,23.2,75.1,891.631
40.9,25,24.2,42.3,42.9,419.868
24.9,16,30.4,48.5,42.1,640.288
